,batting_team,bowling_team,city,current_score,balls_left,wickets_left,current_run_rate,last_five_over_runs,final_score
45152,West Indies,Pakistan,Barbados,102,8,3,5.464285714285714,42.0,111
22089,New Zealand,India,Nagpur,42,72,7,5.25,25.0,126
38197,England,India,London,69,61,9,7.016949152542373,41.0,153
34010,India,Sri Lanka,Mirpur,72,49,8,6.084507042253521,37.0,130
21286,Sri Lanka,Pakistan,Colombo,159,6,4,8.368421052631579,50.0,172
32522,West Indies,India,Kolkata,53,49,5,4.47887323943662,18.0,109
19518,New Zealand,West Indies,Mount Maunganui,134,53,10,12.0,69.0,243
22077,New Zealand,India,Nagpur,33,84,8,5.5,20.0,126
27734,South Africa,Sri Lanka,Johannesburg,73,58,9,7.064516129032258,38.0,198
10686,New Zealand,Bangladesh,Pallekele,96,49,9,8.112676056338028,51.0,191
971,Pakistan,New Zealand,Wellington,86,14,2,4.867924528301887,34.0,105
6254,Australia,New Zealand,Auckland,119,41,6,9.037974683544304,46.0,214
4283,Sri Lanka,England,St Lucia,87,29,6,5.736263736263736,30.0,128
46121,England,Pakistan,Manchester,119,35,6,8.4,51.0,131
31378,Sri Lanka,Bangladesh,Colombo,40,73,6,5.1063829787234045,18.0,159
32939,England,New Zealand,Auckland,203,2,3,10.322033898305085,38.0,214
26865,South Africa,Australia,Johannesburg,107,50,7,9.17142857142857,37.0,204
35242,Sri Lanka,Pakistan,Lahore,82,51,6,7.130434782608695,32.0,147
5507,South Africa,West Indies,Johannesburg,168,32,6,11.454545454545455,42.0,231
48158,India,West Indies,Lauderhill,39,88,10,7.3125,33.0,167
10818,Sri Lanka,England,London,106,38,6,7.7560975609756095,31.0,183
12762,West Indies,New Zealand,Pallekele,62,80,7,9.3,48.0,139
7571,New Zealand,Sri Lanka,Pallekele,55,66,7,6.111111111111111,34.0,142
2836,Australia,South Africa,Johannesburg,77,76,9,10.5,57.0,196
36116,Australia,India,Sydney,111,48,8,9.25,42.0,194
3040,New Zealand,Bangladesh,Kolkata,136,5,4,7.095652173913043,45.0,145
12432,Sri Lanka,Pakistan,Mirpur,110,35,9,7.764705882352941,47.0,150
12022,Pakistan,New Zealand,Auckland,53,79,8,7.7560975609756095,47.0,171
19260,Sri Lanka,India,Colombo,78,69,8,9.176470588235293,43.0,152
36373,Pakistan,West Indies,Dubai,95,38,7,6.951219512195122,34.0,160
18272,Sri Lanka,Pakistan,Lahore,84,63,10,8.842105263157896,37.0,165
3012,New Zealand,Bangladesh,Kolkata,98,33,8,6.758620689655173,41.0,145
45504,West Indies,Australia,Colombo,124,33,8,8.551724137931034,52.0,205
17827,New Zealand,West Indies,Hamilton,158,27,6,10.193548387096774,36.0,191
10906,New Zealand,Pakistan,Dubai,62,72,8,7.75,27.0,153
37812,Pakistan,England,Barbados,57,76,9,7.7727272727272725,34.0,147
6134,New Zealand,Sri Lanka,Johannesburg,108,37,5,7.807228915662651,34.0,164
17343,India,New Zealand,Wellington,112,29,4,7.384615384615385,28.0,165
37554,Sri Lanka,South Africa,Cape Town,46,81,7,7.076923076923077,40.0,134
1422,New Zealand,Sri Lanka,Pallekele,36,58,4,3.4838709677419355,21.0,74
35012,Sri Lanka,Bangladesh,Johannesburg,91,35,6,6.423529411764706,33.0,147
29143,South Africa,Australia,Johannesburg,59,80,9,8.85,44.0,201
8288,South Africa,England,Mumbai,96,77,9,13.395348837209303,79.0,229
3431,New Zealand,Pakistan,London,73,45,6,5.84,31.0,99
13011,New Zealand,South Africa,Durban,62,75,10,8.266666666666667,45.0,153
41088,Pakistan,South Africa,Centurion,129,46,8,10.45945945945946,60.0,195
1520,England,Australia,Southampton,105,48,6,8.75,47.0,179
38511,England,Sri Lanka,Delhi,46,79,9,6.7317073170731705,42.0,171
39302,England,Australia,Melbourne,102,19,6,6.0594059405940595,31.0,137
37959,Pakistan,England,Cardiff,63,55,7,5.815384615384615,15.0,126
41470,Pakistan,India,Kolkata,85,34,7,5.930232558139535,39.0,118
17851,New Zealand,West Indies,Hamilton,189,3,2,9.692307692307692,39.0,191
21702,West Indies,New Zealand,Lauderhill,28,92,9,6.0,28.0,209
41191,West Indies,South Africa,Johannesburg,42,68,7,4.846153846153846,18.0,131
20175,West Indies,Australia,Barbados,146,22,4,8.938775510204081,30.0,160
23520,England,Afghanistan,Delhi,97,20,3,5.82,32.0,142
21250,Sri Lanka,Pakistan,Colombo,99,40,5,7.425,39.0,172
46661,Afghanistan,West Indies,St Kitts,28,88,7,5.25,27.0,110
12964,West Indies,New Zealand,Auckland,124,0,3,6.2,43.0,126
32011,England,New Zealand,Manchester,86,59,7,8.459016393442623,38.0,191
2034,New Zealand,South Africa,Durban,78,25,2,4.926315789473684,24.0,86
46575,Sri Lanka,West Indies,Barbados,101,49,9,8.535211267605634,46.0,195
26600,Sri Lanka,Pakistan,Abu Dhabi,81,69,8,9.529411764705882,45.0,141
1437,New Zealand,Sri Lanka,Pallekele,63,43,3,4.909090909090909,39.0,74
38316,England,West Indies,Barbados,46,67,7,5.2075471698113205,25.0,152
23277,Bangladesh,Pakistan,Lahore,117,16,7,6.75,31.0,141
26838,South Africa,Australia,Johannesburg,75,76,9,10.227272727272727,55.0,204
31568,Sri Lanka,Pakistan,London,120,8,4,6.428571428571429,46.0,138
17411,New Zealand,Sri Lanka,Lauderhill,16,85,5,2.742857142857143,13.0,81
30023,Australia,South Africa,Adelaide,48,75,7,6.4,23.0,144
25679,Pakistan,Australia,Sydney,106,31,5,7.146067415730337,42.0,107
20875,Australia,Sri Lanka,Barbados,74,50,5,6.3428571428571425,32.0,168
12197,Pakistan,Australia,Mirpur,144,29,7,9.494505494505495,55.0,191
44689,New Zealand,Australia,Christchurch,49,89,9,9.483870967741936,45.0,214
20656,New Zealand,India,Johannesburg,125,27,5,8.064516129032258,40.0,190
24999,South Africa,Australia,Colombo,33,86,8,5.823529411764706,31.0,146
27873,New Zealand,Pakistan,Dubai,86,44,6,6.7894736842105265,40.0,135
27342,Bangladesh,Sri Lanka,Chittagong,47,75,5,6.266666666666667,28.0,120
11454,Pakistan,South Africa,Abu Dhabi,91,33,3,6.275862068965517,16.0,119
29836,Bangladesh,West Indies,St Kitts,100,16,2,5.769230769230769,26.0,118
305,India,England,Bangalore,71,65,8,7.745454545454545,38.0,202
16226,Australia,South Africa,Melbourne,144,32,6,9.818181818181818,46.0,182
26502,Pakistan,New Zealand,Auckland,89,40,3,6.675,23.0,143
41951,South Africa,New Zealand,Johannesburg,106,36,6,7.571428571428571,24.0,133
4961,South Africa,Afghanistan,Mumbai,66,83,9,10.702702702702704,53.0,209
15762,Australia,England,Southampton,138,7,4,7.327433628318584,46.0,157
43432,Pakistan,New Zealand,Pallekele,105,54,9,9.545454545454545,54.0,177
21143,New Zealand,England,Wellington,100,26,5,6.382978723404255,30.0,139
28652,Australia,New Zealand,Sydney,132,12,5,7.333333333333333,43.0,150
37246,Pakistan,India,Mirpur,63,36,3,4.5,19.0,83
12066,Pakistan,New Zealand,Auckland,104,35,7,7.341176470588235,41.0,171
